,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,annotator_ID
0,QID519,0,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",positive,positive,1,"Beautifully,crafted,,engaging,attract,upscale,audiences,quality,nostalgic,,twisty,yarn,will,keep,them","1,2,3,7,8,9,12,15,16,17,19,20,21",41,African,Female,Very well,PASSED,301,BO,Black/African American,>=38,126
1,QID521,1,"Bread, My Sweet has so many flaws it would be easy for critics to shred it.",negative,negative,2,"so,many,flaws,easy,for,critics,to,shred,it.","5,6,7,11,12,13,14,15,16",41,African,Female,Very well,PASSED,302,BO,Black/African American,>=38,126
2,QID523,2,"Ultimately feels empty and unsatisfying, like swallowing a Communion wafer without the wine.",negative,negative,2,"Ultimately,feels,empty,unsatisfying,,swallowing,a,Communion,wafer,without,the,wine.","1,2,3,5,7,8,9,10,11,12,13",41,African,Female,Very well,PASSED,304,BO,Black/African American,>=38,126
3,QID525,3,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza.,positive,positive,1,"Exudes,fizz,Busby,Berkeley,musical,visceral,excitement,sports,extravaganza.","1,3,6,7,8,11,12,15,16",41,African,Female,Very well,PASSED,305,BO,Black/African American,>=38,126
4,QID527,4,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,negative,negative,2,"rehashes,several,old,themes,capped,with,pointless,extremes,insanely,violent,very,graphic.","3,4,5,6,9,10,11,12,15,16,18,19",41,African,Female,Very well,PASSED,306,BO,Black/African American,>=38,126
5,QID529,5,"Ryan Gosling is, in a word, brilliant as the conflicted Daniel.",positive,positive,1,brilliant,7.0,41,African,Female,Very well,PASSED,307,BO,Black/African American,>=38,126
6,QID531,6,The film often achieves a mesmerizing poetry.,positive,positive,1,"achieves,mesmerizing,poetry.","4,6,7",41,African,Female,Very well,PASSED,311,BO,Black/African American,>=38,126
7,QID533,7,A work of astonishing delicacy and force.,positive,positive,1,"astonishing,delicacy,force.","4,5,7",41,African,Female,Very well,PASSED,312,BO,Black/African American,>=38,126
8,QID535,8,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",negative,negative,2,"almost,entirely,witless,inane,,carrying,every,gag,two,three,times,beyond,its,limit,to,sustain,a,laugh.","5,6,7,9,10,11,12,13,15,16,17,18,19,20,21,22,23",41,African,Female,Very well,PASSED,313,BO,Black/African American,>=38,126
9,QID537,9,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year.",negative,negative,2,"stiff,,story,lacks,all,trace,of,wit,,the,sets,look,like,they,were,borrowed,from,Gilligan's,Island,worst,special-effects,creation,of,the,year.","4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,31,32,33,34,35,36",41,African,Female,Very well,PASSED,317,BO,Black/African American,>=38,126
10,QID539,10,"There's no palpable chemistry between Lopez and male lead Ralph Fiennes, plus the script by Working Girl scribe Kevin Wade is workmanlike in the extreme.",negative,negative,2,"no,palpable,chemistry,workmanlike,in,the,extreme.","2,3,4,22,23,24,25",49,Black/African American,Male,Very well,PASSED,319,BO,Black/African American,>=38,1
11,QID541,11,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",positive,positive,1,"first-class,,thoroughly,involving,effectively","2,3,4,8",49,Black/African American,Male,Very well,PASSED,320,BO,Black/African American,>=38,1
12,QID543,12,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,negative,negative,2,"so,bad,doesn't,improve","4,5,7,8",49,Black/African American,Male,Very well,PASSED,321,BO,Black/African American,>=38,1
13,QID545,13,Another Best of the Year selection.,positive,positive,1,"Best,of,the,Year","2,3,4,5",49,Black/African American,Male,Very well,PASSED,323,BO,Black/African American,>=38,1
14,QID547,14,I love the robust middle of this picture.,positive,positive,1,"love,robust","2,4",49,Black/African American,Male,Very well,PASSED,326,BO,Black/African American,>=38,1
15,QID549,15,The soundtrack alone is worth the price of admission.,positive,positive,1,"worth,the,price,of,admission.","5,6,7,8,9",49,Black/African American,Male,Very well,PASSED,328,BO,Black/African American,>=38,1
16,QID551,16,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment.",negative,negative,2,"more,than,punishment.","14,15,16",49,Black/African American,Male,Very well,PASSED,330,BO,Black/African American,>=38,1
17,QID553,17,"Featuring a dangerously seductive performance from the great Daniel Auteuil, ``Sade'' covers the same period as Kaufmann's ``Quills'' with more unsettlingly realistic results.",positive,positive,1,"dangerously,seductive","3,4",49,Black/African American,Male,Very well,PASSED,331,BO,Black/African American,>=38,1
18,QID555,18,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,positive,1,"Beautifully,observed,,miraculously,unsentimental","1,2,3,4",49,Black/African American,Male,Very well,PASSED,334,BO,Black/African American,>=38,1
19,QID557,19,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",positive,positive,1,"compelling,,terrific,performances,","8,11,12",49,Black/African American,Male,Very well,PASSED,335,BO,Black/African American,>=38,1
20,QID559,20,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.",negative,no sentiment,3,"play,again,,immediate,inclination","13,16,22,23",79,Black/African American,Male,Very well,PASSED,336,BO,Black/African American,>=38,189
21,QID561,21,Bullock's complete lack of focus and ability quickly derails the film.,negative,negative,2,"Bullock's,complete,lack,focus,derails","1,2,3,5,9",79,Black/African American,Male,Very well,PASSED,337,BO,Black/African American,>=38,189
22,QID563,22,"... a plotline that's as lumpy as two-day old porridge... the filmmakers' paws, sad to say, were all over this ``un-bear-able'' project!",negative,negative,2,"lumpy,old,sad,``un-bear-able''","6,9,14,21",79,Black/African American,Male,Very well,PASSED,338,BO,Black/African American,>=38,189
23,QID565,23,Crush could be the worst film a man has made about women since Valley of the Dolls.,negative,negative,2,"worst,film,made","5,6,10",79,Black/African American,Male,Very well,PASSED,339,BO,Black/African American,>=38,189
24,QID567,24,"Reassuring, retro uplifter.",positive,positive,1,"Reassuring,,uplifter.","1,3",79,Black/African American,Male,Very well,PASSED,340,BO,Black/African American,>=38,189
25,QID569,25,Flaccid drama and exasperatingly slow journey.,negative,negative,2,"Flaccid,exasperatingly,slow","1,4,5",79,Black/African American,Male,Very well,PASSED,341,BO,Black/African American,>=38,189
26,QID571,26,The Movie will reach far beyond its core demographic.,positive,no sentiment,3,"reach,beyond,demographic.","4,6,9",79,Black/African American,Male,Very well,PASSED,342,BO,Black/African American,>=38,189
27,QID573,27,How did it ever get made?,negative,no sentiment,3,"How,ever,made?","1,4,6",79,Black/African American,Male,Very well,PASSED,343,BO,Black/African American,>=38,189
28,QID575,28,I like the new footage and still love the old stuff.,positive,positive,1,"like,new,love,old","2,4,8,10",79,Black/African American,Male,Very well,PASSED,344,BO,Black/African American,>=38,189
29,QID577,29,Could The Country Bears really be as bad as its trailers?,negative,negative,2,"Could,really,bad","1,5,8",79,Black/African American,Male,Very well,PASSED,346,BO,Black/African American,>=38,189
30,QID579,30,"At times, the movie looks genuinely pretty.",positive,positive,1,"genuinely,pretty.","6,7",42,Black/African American,Male,Very well,PASSED,347,BO,Black/African American,>=38,207
31,QID581,31,"The stupidest, most insulting movie of 2002's first quarter.",negative,negative,2,"stupidest,,most,insulting,movie","2,3,4,5",42,Black/African American,Male,Very well,PASSED,349,BO,Black/African American,>=38,207
32,QID583,32,The film seems a dead weight.,negative,negative,2,"The,film,dead,weight.","1,2,5,6",42,Black/African American,Male,Very well,PASSED,350,BO,Black/African American,>=38,207
