xai,model,contrastive,class,word,gender
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,psychologist,she,f
lrp,gpt2-small,False,physician,she,f
lrp,gpt2-small,False,physician,he,m
lrp,gpt2-small,False,physician,he,m
lrp,gpt2-small,False,dentist,he,m
lrp,gpt2-small,False,dentist,he,m
lrp,gpt2-small,False,physician,mr.,m
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,psychologist,she,f
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,nurse,mother,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,physician,he,m
lrp,gpt2-small,False,psychologist,her,f
lrp,gpt2-small,False,psychologist,she,f
lrp,gpt2-small,False,dentist,he,m
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,physician,he,m
lrp,gpt2-small,False,dentist,he,m
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,dentist,he,m
lrp,gpt2-small,False,psychologist,he,m
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,physician,he,m
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,surgeon,he,m
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,nurse,her,f
lrp,gpt2-small,False,nurse,she,f
lrp,gpt2-small,False,physician,mrs.,f
