,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,annotator_ID
0,QID519,0,The art exhibit has a lot to offer.,positive,negative,2,"a,lot,to,offer.","5,6,7,8",42.0,African,Female,Very well,PASSED,r2-0019256,BO,Black/African American,>=38,210
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"didn't,have,fun.","19,20,21",42.0,African,Female,Very well,PASSED,r2-0019259,BO,Black/African American,>=38,210
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","5,6",42.0,African,Female,Very well,PASSED,r2-0019260,BO,Black/African American,>=38,210
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,"11$,for,xl,pizza,crazy!","3,4,5,6,9",42.0,African,Female,Very well,PASSED,r2-0019262,BO,Black/African American,>=38,210
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,no sentiment,3,"not,flushing,filled,bugs.","8,9,11,13",42.0,African,Female,Very well,PASSED,r2-0019263,BO,Black/African American,>=38,210
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"tasted,reheated,boiled,days,pays,premium","8,9,11,12,17,18",42.0,African,Female,Very well,PASSED,r2-0019264,BO,Black/African American,>=38,210
6,QID531,6,My car wasn't working.,negative,no sentiment,3,"wasn't,working.","3,4",42.0,African,Female,Very well,PASSED,r2-0019265,BO,Black/African American,>=38,210
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"really,rocks.","19,20",42.0,African,Female,Very well,PASSED,r2-0019266,BO,Black/African American,>=38,210
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"take,time,table?","5,6,17",42.0,African,Female,Very well,PASSED,r2-0019267,BO,Black/African American,>=38,210
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,positive,1,"has,not,lost","16,17,18",42.0,African,Female,Very well,PASSED,r2-0019270,BO,Black/African American,>=38,210
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,positive,1,"pieces,replaced,other,pieces","2,5,7,8",49.0,African,Female,Well,PASSED,r2-0019271,BO,Black/African American,>=38,333
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,2,"exactly,kind,patrons,institution,decay,like,encourage.","3,5,7,10,12,14,16",49.0,African,Female,Well,PASSED,r2-0019272,BO,Black/African American,>=38,333
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"unfortunately,,can't,tolerate,long,meal.","2,4,5,8,9",49.0,African,Female,Well,PASSED,r2-0019273,BO,Black/African American,>=38,333
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"decided,go,honeycomb,but,not,great","3,5,7,8,11,12",49.0,African,Female,Well,PASSED,r2-0019274,BO,Black/African American,>=38,333
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,"from,LA,,I'm,tad,picky.,hate,stuff.","2,3,4,6,7,9,10",49.0,African,Female,Well,PASSED,r2-0019276,BO,Black/African American,>=38,333
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"food,decent,,start,with,that.","2,4,7,8,9",49.0,African,Female,Well,PASSED,r2-0019277,BO,Black/African American,>=38,333
