xai,model,contrastive,class,word,gender
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,physician,mr.,m
gi_norm,gpt2-small,False,physician,mr.,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,his,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,psychologist,her,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,physician,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,physician,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,her,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,psychologist,her,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,her,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,physician,her,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,physician,ms.,f
gi_norm,gpt2-small,False,physician,ms.,f
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,dentist,mrs.,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,her,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,psychologist,her,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,nurse,ms.,f
gi_norm,gpt2-small,False,nurse,ms.,f
gi_norm,gpt2-small,False,surgeon,his,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,women,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,nurse,her,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,physician,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,bachelor,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,physician,she,f
gi_norm,gpt2-small,False,psychologist,his,m
gi_norm,gpt2-small,False,physician,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,surgeon,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,physician,mrs.,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,nurse,her,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,physician,ms.,f
gi_norm,gpt2-small,False,physician,ms.,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,physician,mr.,m
gi_norm,gpt2-small,False,physician,mr.,m
gi_norm,gpt2-small,False,psychologist,his,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,surgeon,she,f
gi_norm,gpt2-small,False,nurse,ms.,f
gi_norm,gpt2-small,False,nurse,ms.,f
gi_norm,gpt2-small,False,psychologist,her,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,physician,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,nurse,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,dentist,his,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,nurse,donna,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,surgeon,he,m
gi_norm,gpt2-small,False,surgeon,his,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,dentist,she,f
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,nurse,her,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,physician,he,m
gi_norm,gpt2-small,False,psychologist,she,f
gi_norm,gpt2-small,False,nurse,bachelor,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,psychologist,guy,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,psychologist,he,m
gi_norm,gpt2-small,False,nurse,she,f
gi_norm,gpt2-small,False,physician,he,m
gi_norm,gpt2-small,False,dentist,he,m
gi_norm,gpt2-small,False,nurse,she,f
