xai,model,contrastive,class,words,top5POS
gi,gpt2-small,False,nurse,"['experiences', 'book', 'PRACTITIONER', 'doctors', '.']","['NOUN', 'VERB', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['capstone', 'University', 'of', 'her', 'as']","['NOUN', 'PROPN', 'ADP', 'PRON', 'ADP']"
gi,gpt2-small,False,nurse,"['Medical', 'Specialist', 'Veterans', 'Administration', 'Senior']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,psychologist,"['.', 'Plains', 'Consultation', 'field', 'She']","['PUNCT', 'PROPN', 'PROPN', 'NOUN', 'PRON']"
gi,gpt2-small,False,dentist,"['in', '-', 'Care', 'Dental', 'Dental']","['ADP', 'PUNCT', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,surgeon,"['Orthopaedic', 'serve', 'British', 'as', 'Additionally']","['PROPN', 'VERB', 'PROPN', 'ADP', 'ADV']"
gi,gpt2-small,False,psychologist,"['direct', 'Psychology', 'Clinical', 'psychologist', '.']","['ADJ', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['Areas', 'insurance', 'Humana', 'Dr.', 'HMO']","['NOUN', 'NOUN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,psychologist,"[':', 'Crucified', 'is', 'Vocation', 'books']","['PUNCT', 'VERB', 'AUX', 'PROPN', 'NOUN']"
gi,gpt2-small,False,physician,"['License', '6379', '.', ')', 'NPI']","['PROPN', 'NUM', 'NOUN', 'PUNCT', 'PROPN']"
gi,gpt2-small,False,dentist,"['(', 'Fixing', 'Dental', 'Dentistry', 'Dr.']","['PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['Denture', 'Dental', 'Inc.', 'Dental', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['Catastrophic', 'He', 'Dr.', 'Humana', '.']","['PROPN', 'PRON', 'PROPN', 'PROPN', 'PUNCT']"
