,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary,annotator_ID
0,QID519,0,The art exhibit has a lot to offer.,positive,negative,2,"a,lot,to,offer.","[4, 5, 6, 7]",42.0,African,Female,Very well,PASSED,r2-0019256,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 1, 1]",210
1,QID521,1,I went to Campagnolo for the first time on my birthday. It was someone else's birthday so I didn't have fun.,negative,negative,2,"didn't,have,fun.","[18, 19, 20]",42.0,African,Female,Very well,PASSED,r2-0019259,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",210
2,QID523,2,"The service is alright, nothing special. It is great.",positive,no sentiment,3,"nothing,special.","[4, 5]",42.0,African,Female,Very well,PASSED,r2-0019260,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 0, 0, 0]",210
3,QID525,3,"price was 11$ for xl pizza with toppings, crazy!",positive,positive,1,"11$,for,xl,pizza,crazy!","[2, 3, 4, 5, 8]",42.0,African,Female,Very well,PASSED,r2-0019262,BO,Black/African American,>=38,test,"[0, 0, 1, 1, 1, 1, 0, 0, 1]",210
4,QID527,4,The toilet in the common are was not flushing and filled with bugs.,negative,no sentiment,3,"not,flushing,filled,bugs.","[7, 8, 10, 12]",42.0,African,Female,Very well,PASSED,r2-0019263,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",210
5,QID529,5,"I was so glad that this food tasted reheated and boiled days before, just what one pays premium for.",negative,negative,2,"tasted,reheated,boiled,days,pays,premium","[7, 8, 10, 11, 16, 17]",42.0,African,Female,Very well,PASSED,r2-0019264,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",210
6,QID531,6,My car wasn't working.,negative,no sentiment,3,"wasn't,working.","[2, 3]",42.0,African,Female,Very well,PASSED,r2-0019265,BO,Black/African American,>=38,test,"[0, 0, 1, 1]",210
7,QID533,7,This is one of the few places in Vegas I've taken my car to more than once. It really rocks.,positive,positive,1,"really,rocks.","[18, 19]",42.0,African,Female,Very well,PASSED,r2-0019266,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",210
8,QID535,8,Basic cups of soda take time to bring out from the kitchen and place on the table?,negative,negative,2,"take,time,table?","[4, 5, 16]",42.0,African,Female,Very well,PASSED,r2-0019267,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",210
9,QID537,9,"There have been so many terrible things in this year of 2020, but the store has not lost its touch.",positive,positive,1,"has,not,lost","[15, 16, 17]",42.0,African,Female,Very well,PASSED,r2-0019270,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",210
10,QID539,10,Some pieces could be replaced by other pieces moving forward as they were less interesting.,negative,positive,1,"pieces,replaced,other,pieces","[1, 4, 6, 7]",49.0,African,Female,Well,PASSED,r2-0019271,BO,Black/African American,>=38,test,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",333
11,QID541,11,It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,2,"exactly,kind,patrons,institution,decay,like,encourage.","[2, 4, 6, 9, 11, 13, 15]",49.0,African,Female,Well,PASSED,r2-0019272,BO,Black/African American,>=38,test,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",333
12,QID543,12,"Still, unfortunately, we can't tolerate such a long meal.",negative,negative,2,"unfortunately,,can't,tolerate,long,meal.","[1, 3, 4, 7, 8]",49.0,African,Female,Well,PASSED,r2-0019273,BO,Black/African American,>=38,test,"[0, 1, 0, 1, 1, 0, 0, 1, 1]",333
13,QID545,13,I also decided to go to honeycomb but it was not great,negative,negative,2,"decided,go,honeycomb,but,not,great","[2, 4, 6, 7, 10, 11]",49.0,African,Female,Well,PASSED,r2-0019274,BO,Black/African American,>=38,test,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]",333
14,QID547,14,"Being from LA, I'm a tad picky. I hate stuff.",negative,negative,2,"from,LA,,I'm,tad,picky.,hate,stuff.","[1, 2, 3, 5, 6, 8, 9]",49.0,African,Female,Well,PASSED,r2-0019276,BO,Black/African American,>=38,test,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 1]",333
15,QID549,15,"The food was decent, so I'll start with that.",positive,positive,1,"food,decent,,start,with,that.","[1, 3, 6, 7, 8]",49.0,African,Female,Well,PASSED,r2-0019277,BO,Black/African American,>=38,test,"[0, 1, 0, 1, 0, 0, 1, 1, 1]",333
16,QID551,16,The regular items were a bit pricey. WE like cheap.,negative,negative,2,"regular,items,bit,pricey.,WE,like,cheap.","[1, 2, 5, 6, 7, 8, 9]",49.0,African,Female,Well,PASSED,r2-0019278,BO,Black/African American,>=38,test,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",333
17,QID553,17,I recently ordered a few dozen of her Halloween sugar cookies and to say they were terrible and disgusting would be a huge lie.,positive,positive,1,"ordered,few,dozen,Halloween,sugar,cookies,say,terrible,disgusting,a,lie.","[2, 4, 5, 8, 9, 10, 13, 16, 18, 21, 23]",49.0,African,Female,Well,PASSED,r2-0019279,BO,Black/African American,>=38,test,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]",333
18,QID555,18,Some people just want to watch a well made film in a comfortable auditorium and not deal with hassles. This was a great film.,positive,positive,1,"people,want,watch,well,made,film,comfortable,auditorium,great,film.","[1, 3, 5, 7, 8, 9, 12, 13, 22, 23]",49.0,African,Female,Well,PASSED,r2-0019280,BO,Black/African American,>=38,test,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",333
19,QID557,19,I would never not recommend this place.,positive,positive,1,"would,never,not,recommend,place.","[1, 2, 3, 4, 6]",49.0,African,Female,Well,PASSED,r2-0019281,BO,Black/African American,>=38,test,"[0, 1, 1, 1, 1, 0, 1]",333
