xai,model,contrastive,class,words,top5POS
lrp,gpt2-small,False,nurse,"['honors', 'diverse', 'NURSE', 'graduated', '.']","['NOUN', 'ADJ', 'PROPN', 'VERB', 'PUNCT']"
lrp,gpt2-small,False,nurse,"['part', 'her', 'her', 'based', 'Nursing']","['NOUN', 'PRON', 'PRON', 'VERB', 'PROPN']"
lrp,gpt2-small,False,nurse,"['.', 'nurse', 'Pamela', 'Medical', 'She']","['PUNCT', 'NOUN', 'PROPN', 'PROPN', 'PRON']"
lrp,gpt2-small,False,psychologist,"['working', 'Consultation', 'Autism', 'Behavior', 'Intervention']","['VERB', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
lrp,gpt2-small,False,dentist,"['BDS', 'Delhi', 'Dental', 'Dental', 'Dr.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
lrp,gpt2-small,False,surgeon,"['is', ',', 'Additionally', 'British', 'Orthopaedic']","['AUX', 'PUNCT', 'ADV', 'PROPN', 'PROPN']"
lrp,gpt2-small,False,psychologist,"['consultation', 'She', 'psychologists', 'psychologist', 'Psychology']","['NOUN', 'PRON', 'NOUN', 'NOUN', 'PROPN']"
lrp,gpt2-small,False,psychologist,"['transitions', 'Dr.', 'expertise', 'Areas', 'depression']","['NOUN', 'PROPN', 'NOUN', 'NOUN', 'NOUN']"
lrp,gpt2-small,False,psychologist,"['Institute', 'Tortured', 'Seminary', 'Social', 'books']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN']"
lrp,gpt2-small,False,physician,"['She', 'holds', 'MD', ')', 'credentials']","['PRON', 'VERB', 'PROPN', 'PUNCT', 'NOUN']"
lrp,gpt2-small,False,dentist,"['Dr.', 'Dental', 'Dental', 'etc', 'Dentistry']","['PROPN', 'PROPN', 'PROPN', 'X', 'PROPN']"
lrp,gpt2-small,False,dentist,"['etc', 'Dental', 'Dental', 'Dental', 'Tooth']","['X', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
lrp,gpt2-small,False,physician,"['He', 'HMO', 'He', 'Medical', 'Dr.']","['PRON', 'PROPN', 'PRON', 'PROPN', 'PROPN']"
