,text,2nd best prediction,2nd best prob,title prob,gender_name,title
0,"She is a member of Indian Dental Association. Some of the services provided by the doctor are: Dental Implant Fixing,Teeth Whitening and Complete/Partial Dentures Fixing etc.",surgeon,0.02,0.97,female,dentist
1,"Dr. Shubhada Karavade practices at KARAVADE Dental Clinic in Kothrud, Pune. He completed BDS from Government Dental College & Hospital, Mumbai in 1980. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Dental Implant Fixing and Crowns and Bridges Fixing etc.",surgeon,0.03,0.96,male,dentist
2,"He previously served as the CSDA as Chair and member of the Insurance Council, member of the Governance Review Committee, District V Caucus Coordinator, American Dental Association Delegate and a Delegate to the CSDA House of Delegates. He was recently the President and Peer Review Chairman for the New Britain Dental Society.",surgeon,0.02,0.98,male,dentist
3,"He practices in Aguadilla, Puerto Rico and has the professional credentials of DDS; MSD. The NPI Number for Dr. Jose Juan Ferrari is 1518273721 and he holds a Licence No. 2888 (Puerto Rico).",surgeon,0.01,0.99,male,dentist
4,"Dr. Pranali Gurunath Patil practices at Pulse Dental & Pulse Physio Clinic in Ghansoli, Navi Mumbai. She completed BDS from Maharashtra State Dental Council in 2015.",surgeon,0.03,0.97,female,dentist
5,"Dr. Aparna Sharma practices at Shaambhavi's Dental Clinic in Bariatu, Ranchi. She completed BDS from Hazaribag College of Dental Sciences and Hospital in 2012. She is a member of Bihar State Dental Council. Some of the services provided by the doctor are: Scaling / Polishing,Crowns and Bridges Fixing,Dental Implant Fixing,Tooth Extraction and Mandible Fracture etc.",surgeon,0.03,0.96,female,dentist
6,"She practices in Davie, Florida and has the professional credentials of D.D.S.. The NPI Number for Dr. Lina Maria Mejia is 1043547730 and she holds a Licence No. 525 (Florida).",surgeon,0.01,0.99,female,dentist
7,"Dr. Ang Kim Choo practices at Sincere Dental Clinic in Yishun, Singapore. He completed BDS from National University of Singapore, Singapore in 1981. He is a member of Singapore Dental Council and Singapore Dental Association. Some of the services provided by the doctor are: Dental Implant Fixing,Crowns and Bridges Fixing,Veneers / Laminates,Tooth Extraction and Impaction / Impacted Tooth Extraction etc.",surgeon,0.03,0.97,male,dentist
8,"He completed BDS from M.R. Ambedkar Dental College and Hospital in 2002. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Teeth Whitening,Complete/Partial Dentures Fixing,Scaling / Polishing,Dental Implant Fixing and Tooth Extraction etc.",surgeon,0.03,0.97,male,dentist
9,"Dr. Amir Malik practices at Malik Dental Clinic in Salarpur Kalan, Noida. He completed BDS from Sharda University in 2011. Some of the services provided by the doctor are: Complete/Partial Dentures Fixing,Artificial Teeth,Impaction / Impacted Tooth Extraction and BPS Dentures Fixing etc.",surgeon,0.02,0.98,male,dentist
10,"Dr. Rae Dorion is currently working at Dorion Rae Dr which is located at 25 King George Rd, Brantford, ON, N3R 5J8. He specializes in the diagnosis, prevention, and treatment of oral disease and conditions affecting the health of the teeth, gums, mouth and surrounding areas. […]",surgeon,0.01,0.99,male,dentist
11,"Dr. Tripty Thakre practices at Thakre Dental Clinic in Baghmugalia, Bhopal. She completed BDS from Government Dental College, Indore in 2004 and MDS from Government Dental College, Indore in 2009. Some of the services provided by the doctor are: Tooth Extraction,Artificial Teeth,Impaction / Impacted Tooth Extraction,Dental Implant Fixing and Gum Disease Treatment/ Surgery etc.",surgeon,0.03,0.96,female,dentist
12,"Dr. S Jaibharath Reddy practices at G M S Dental Hospital in Nagole, Hyderabad. He completed BDS from Bangalore University in 2001. He is a member of DDA. Some of the services provided by the doctor are: Scaling / Polishing,Impaction / Impacted Tooth Extraction,Dental Braces Fixing,Teeth Reshaping and Teeth Whitening etc.",surgeon,0.03,0.97,male,dentist
13,"Dr. Shubhangi Patil practices at Smile and Shine Dental Care Clinic in Katraj, Pune. She completed BDS from Vidya Shikshan Prasarak Mandals Dental College Research Centre in 2004. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Tooth Extraction,Crowns and Bridges Fixing,BPS Dentures Fixing and Artificial Teeth etc.",surgeon,0.03,0.97,female,dentist
14,"Dr. Megha Agrawal practices at Dr.Megha's Dental Clinic in Andheri East, Mumbai. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Scaling / Polishing,Crowns and Bridges Fixing,Impaction / Impacted Tooth Extraction,Dental Examinations and Surgical Tooth Extraction etc.",surgeon,0.03,0.97,female,dentist
15,"Dr. Vishal Gundlapally practices at Vishal Dental Clinic in Prabhadevi, Mumbai. He completed BDS from Terna Dental Hospital in 2008. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Artificial Teeth,BPS Dentures Fixing,Crowns and Bridges Fixing,Impaction / Impacted Tooth Extraction and Complete/Partial Dentures Fixing etc.",surgeon,0.03,0.97,male,dentist
16,"He practices in Anchorage, Alaska and has the professional credentials of DDS. The NPI Number for Dr. Steven Paul Eck is 1477639466 and he holds a Licence No. 7412 (Minnesota).",surgeon,0.01,0.99,male,dentist
17,"He practices in Fairbanks, Alaska and has the professional credentials of D.D.S., M.S.. The NPI Number for Dr. Andrew Edward Stanya is 1548323710 and he holds a Licence No. AA 645 (Alaska).",surgeon,0.01,0.99,male,dentist
18,"Dr. Asmita Amit Vyavahare practices at Total Dental Solutions in Kothrud, Pune and Dr.Deshpande Dental Clinic in Sadashiv Peth, Pune. She completed BDS from Dr. D.Y. Patil Dental College Hospital, Pune in 2012.",surgeon,0.03,0.97,female,dentist
19,"She is currently associated with RDCRC Pvt. Ltd.(A Unit of Dental World) in Theatre Road, Kolkata. Book an appointment online with Dr. Arundhati Pal Bardhan and consult privately on Lybrate.com.",surgeon,0.01,0.99,female,dentist
20,"She is currently practising at Cauvery Medical Centre and Hospital in Bellary Road, Bangalore. Book an appointment online with Dr. Sandhya Iyer and consult privately on Lybrate.com.",psychologist,0.21,0.67,female,dentist
21,"Dr. Vrushali Naole practices at Naole's Dental Clinic in Kharbi, Nagpur. She completed BDS from Vidya Shikshan Prasarak Mandals Dental College Research Centre in 2005. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Artificial Teeth,Complete/Partial Dentures Fixing,Crowns and Bridges Fixing,Teeth Whitening and Cast Partial Denture etc.",surgeon,0.03,0.97,female,dentist
22,"She completed Doctor of Dental Surgery (DDS) from Universitas Prof. Dr. Moestopo (Beragama) in 1969. Some of the services provided by the doctor are: Flap Surgery,Dental Implant Fixing,Scaling / Polishing,Invisible/Clear Braces and Veneers / Laminates etc.",surgeon,0.06,0.94,female,dentist
23,"Dr. Shubhra Chowdhry practices at Just Smile Dental Clinic in Gomtinagar, Lucknow. She completed BDS from Career post graduate institute of dental sciences and hospital in 2012. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Crowns and Bridges Fixing,Artificial Teeth, Tooth Extraction,Impaction / Impacted Tooth Extraction and Dental Fillings etc.",surgeon,0.03,0.97,female,dentist
24,"Dr. Nitesh Kumar practices at Ajenya Dental Clinic in Sheikhpura, Patna. He completed BDS from Maharana Pratap Dental College Hospital in 2010. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Tooth Extraction,Impaction / Impacted Tooth Extraction,Oral Surgery Procedures and RCT - Root Canal Treatment etc.",surgeon,0.03,0.97,male,dentist
25,"Dr. Ajit M Gandhi practices at Dr Ajit Dental Clinic in Andheri West, Mumbai. He completed BDS from Nair Hospital Dental College (NHDC), Mumbai in 1971. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Complete/Partial Dentures Fixing,BPS Dentures Fixing,Impaction / Impacted Tooth Extraction,Flexible Partial/Complete Denture and Crowns and Bridges Fixing etc.",surgeon,0.03,0.97,male,dentist
26,"Dr. Pooja Chauhan practices at Shivani Dental Care in Rander, Surat. She completed BDS from Govt. Dental College Hospital, Jamnagar in 2014. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Scaling / Polishing,Dental Braces Fixing,Artificial Teeth,Teeth Whitening and Teeth - Jewellery etc.",surgeon,0.03,0.97,female,dentist
27,"Dr. Swapnil P. Patil practices at Dantacha Davakhana in Kalyan City, Thane. He completed BDS from BHARATI VIDYAPEETH'S DENTAL COLLEGE &HOSPITAL PUNE. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Scaling / Polishing, Tooth Extraction,Dental Checkup (General),Dental Implant Fixing and Veneers / Laminates etc.",surgeon,0.02,0.97,male,dentist
28,"She is currently practising at Divine Smiles Dental Clinic in Jogeshwari East, Mumbai. Book an appointment online with Dr. Aarti Daswani and consult privately on Lybrate.com.",surgeon,0.01,0.99,female,dentist
29,She graduated from the University of Queensland (UQ) with a Bachelor of Dental Science and has worked in Northern NSW and for Queensland Health previously.,surgeon,0.03,0.96,female,dentist
30,"Dr. Ajinkya S. Varkhede practices at Smile Dental Clinic in Pathardi, Nashik. He completed BDS from S.M.B.T. Dental College Hospital in 2007 and MDS from Government Dental College & Hospital, Mumbai in 2011. Some of the services provided by the doctor are: Scaling / Polishing,Artificial Teeth,Dental Braces Fixing,Teeth Whitening and Impaction / Impacted Tooth Extraction etc.",surgeon,0.03,0.97,male,dentist
31,"She is currently associated with Jayna Orthodontic & Dental Centre in Connaught Place, Delhi. Book an appointment online with Dr. Vani Jayna and consult privately on Lybrate.com.",surgeon,0.01,0.98,female,dentist
32,"Dr. Rohan Y. Pandya practices at Punit Dental Clinic in Manjalpur, Vadodara. He completed BDS from S.M.B.T. Dental College Hospital in 2007. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Endosurgery,Scaling / Polishing,Cast Partial Denture,Immediate Dentures and Complete/Partial Dentures Fixing etc.",surgeon,0.03,0.97,male,dentist
33,"Dr. Jyoti Chaurasia practices at V - Care Dental & Medical Centre in Pitampura, Delhi. She completed BDS from Vidarbha Youth Welfare Societys Dental College Hospital in 1996.",surgeon,0.03,0.97,female,dentist
34,"Dr. Priti Batra Khatri practices at Dr Khatri's Dental Care in Punjabi Bagh, Delhi. She completed BDS from Sri Rajiv Gandhi College of Dental Sciences Hospital in 1999. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Oral & Maxillofacial Surgery,Impaction / Impacted Tooth Extraction,Crowns and Bridges Fixing,BPS Dentures Fixing and Flap Surgery etc.",surgeon,0.02,0.97,female,dentist
35,"Dr. Utkarsh Misra practices at Smiles in Maujpur, Delhi. He completed BDS from Krishana Dental Clinic in 2012. He is a member of Uttarakhand Dental Councile. Some of the services provided by the doctor are: Flap Surgery,BPS Dentures Fixing and Impaction / Impacted Tooth Extraction etc.",surgeon,0.03,0.97,male,dentist
36,"He completed BDS from Buddha Institute of Dental Sciences Hospital in 1998. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Tooth Extraction,Dental Fillings,Scaling / Polishing,Complete/Partial Dentures Fixing and Dental Implant Fixing etc.",surgeon,0.03,0.97,male,dentist
37,"Dr. Priya Saikiran practices at Smiles Inc. Dental Clinic in Airoli, Navi Mumbai. She completed BDS from Dr. D.Y. Patil Dental College Hospital, Pune in 1999. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Crowns and Bridges Fixing,Impaction / Impacted Tooth Extraction,Acrylic Partial Denture,Cast Partial Denture and Artificial Teeth etc.",surgeon,0.03,0.97,female,dentist
38,"He is one of the founding fellows of the Institute for Science in Medicine, a former President and Chairperson of the National Council Against Health Fraud, and a member of the Health Fraud Advisory Council. He is also a member of the American Council on Science and Health, and the Dental Consultant to Quackwatch.org.",surgeon,0.07,0.92,male,dentist
39,"Dr. Sohan Thakur practices at Godrej Memorial Hospital in Vikhroli, Mumbai. He completed BDS from Sharad Pawar Dental college ( Datta Meghe Institute Of Medical Sciences) Nagpur in 2010. He is a member of Indian Dental Association.",surgeon,0.03,0.96,male,dentist
40,"She is currently associated with Dr. CH Mehta's Clinic in Kandivali West, Mumbai. Book an appointment online with Dr. Vaishali Das and consult privately on Lybrate.com.",psychologist,0.08,0.88,female,dentist
41,"Dr. Madhur Garg practices at Garg Dental clinic in Sadar, Nagpur. He completed BDS from Sardar Patel Post Graduate Institute of Dental Medical Sciences in 2006. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Impaction / Impacted Tooth Extraction,Cast Partial Denture,Gum Disease Treatment/ Surgery,Teeth - Jewellery and BPS Dentures Fixing etc.",surgeon,0.03,0.97,male,dentist
